year,sid,state,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,unemployrt,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,poverty,r20001,r20002,r20003,r20004,r20011,r20012,r20013,r20014,r20021,r20022,r20023,r20024,r20031,r20032,r20033,r20034,r20041,r20042,r20043,r20044,r20051,r20052,r20053,r20054,r20061,r20062,r20063,r20064,r20071,r20072,r20073,r20074,r20081,r20082,r20083,r20084,r20091,r20092,r20093,r20094,r20101,r20102,r20103,r20104,trend_1,trend_2,trend_3,trend_4,trend_5,trend_6,trend_7,trend_8,trend_9,trend_10,trend_11,trend_12,trend_13,trend_14,trend_15,trend_16,trend_17,trend_18,trend_19,trend_20,trend_21,trend_22,trend_23,trend_24,trend_25,trend_26,trend_27,trend_28,trend_29,trend_30,trend_31,trend_32,trend_33,trend_34,trend_35,trend_36,trend_37,trend_38,trend_39,trend_40,trend_41,trend_42,trend_43,trend_44,trend_45,trend_46,trend_47,trend_48,trend_49,trend_50,trend_51,l_homicide,l_larceny,l_motor,l_police,l_income,l_prisoner,l_lagprisoner,l_exp_subsidy,l_exp_pubwelfare,post,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lag0,lag1,lag2,lag3,lag4,lag5,popwt
2000,1,,0.21080323,1,0,7.5939784,131.61357,325.6178,930.92017,2940.6238,295.65735,6.5322065,4.1,2.2222428,4.69481,3.4716945,10.414437,14.70598147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0273557,7.9863772,5.6892014,5.8546085,10.711102,6.4057665,6.3355403,5.3578176,6.926083,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4499293
2001,1,,0.21436246,2,0,8.713443,128.3796,281.63504,934.3846,2758.69,290.11856,7.4949403,4.7,2.2499535,4.700201,3.4402466,10.186382,15.75020329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.164867,7.922511,5.6702895,5.863135,10.675931,6.421284,6.4057665,5.402183,6.974412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4499293
2002,1,,0.4240188,3,2,6.9332876,136.42331,274.6314,974.2757,2835.829,317.8329,6.4069986,5.4,2.258261,4.685461,3.4039927,9.957734,15.55655881,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9363341,7.9500895,5.7615256,5.7413816,10.727071,6.4616323,6.421284,5.5518985,7.0387506,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4499293
2003,1,,0.2454455,2,1,6.8180065,137.6827,258.537,986.10266,2828.4238,341.05994,6.567177,5.5,2.292948,4.688166,3.3832135,9.79141,15.44780166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9195671,7.947475,5.8320584,5.853816,10.695688,6.4559712,6.4616323,5.6018972,7.1104236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4499293
2004,1,,0.2610063,3,0,5.7536893,136.86531,255.65407,1011.7885,2800.9592,317.67612,5.595123,5.1,2.2913275,4.661734,3.3588407,9.599033,16.252654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7498412,7.9377174,5.7610326,5.792754,10.652069,6.374003,6.4559712,5.5795846,7.0855193,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4499293
2005,1,,0.18737397,0,1,8.418573,145.1191,254.2004,978.55786,2718.7039,295.77554,6.932943,3.9,2.3120463,4.635865,3.35721,9.449511,16.87298174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1304405,7.9079103,5.689601,5.6622906,10.633232,6.4421363,6.374003,4.368332,7.0059175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4499293
2006,1,,0.21527778,3,3,8.001687,153.42366,227.87415,968.9217,2645.123,322.93765,6.784039,3.6,2.2692394,4.483489,3.2928684,9.08883,16.16767014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0796523,7.8804727,5.777459,5.832794,10.622327,6.4200997,6.4421363,4.420956,6.9676113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4499293
2007,1,,0.21332072,3,4,8.54794,161.40779,248.34819,989.11884,2711.616,310.4952,7.653896,3.5,2.2898014,4.504067,3.338494,9.052967,16.35877363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1456904,7.9053,5.7381682,5.8762283,10.700725,6.4635863,6.4200997,4.54151,6.9971676,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4499293
2008,1,,0.31781045,3,1,7.718328,158.77704,254.89941,1089.1923,2734.0825,290.8318,7.264309,4.9,2.2850144,4.4733872,3.351938,8.916204,15.60691355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0435977,7.9135513,5.672745,5.856899,10.715284,6.491606,6.4635863,4.515596,6.9110613,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4499293
2009,1,,0.29672787,0,0,6.9496,135.21504,282.79694,1054.181,2548.302,239.37273,6.86327,9.9,2.2777638,4.4550176,3.3867862,8.858172,17.37881365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9386841,7.8431826,5.478022,5.900207,10.612508,6.530851,6.491606,4.642847,7.0866895,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4499293
